Fecha	 Super_95_€ 	 Super_95_€_Sin_Imp 	 Diesel_€ 	 Diesel_€_Sin_Imp 	 Diesel_Calef_€ 	 Diesel_Calef_€_Sin_Imp 	 Precio_Barril_Brent_$ 	 Precio_barril_Opep_$ 	Tasa_Cambio_$_€	Precio_Barril_Brent_€	Precio_barril_Opep_€
03/01/2005	 0,841   	 0,323   	 0,808   	 0,396   	 0,486   	 0,334   	 40,75 	 36,57 	0,7428	 30,269   	 27,164   
10/01/2005	 0,841   	 0,322   	 0,807   	 0,396   	 0,448   	 0,303   	 44,71 	 40,12 	0,7644	 34,176   	 30,668   
17/01/2005	 0,844   	 0,325   	 0,808   	 0,397   	 0,446   	 0,300   	 45,10 	 41,81 	0,7656	 34,529   	 32,010   
24/01/2005	 0,853   	 0,332   	 0,808   	 0,397   	 0,453   	 0,305   	 45,74 	 42,49 	0,7659	 35,032   	 32,543   
31/01/2005	 0,861   	 0,340   	 0,813   	 0,401   	 0,463   	 0,314   	 44,51 	 40,95 	0,7673	 34,153   	 31,421   
07/02/2005	 0,873   	 0,349   	 0,813   	 0,401   	 0,473   	 0,322   	 42,70 	 39,98 	0,7837	 33,464   	 31,332   
14/02/2005	 0,884   	 0,359   	 0,816   	 0,404   	 0,464   	 0,317   	 44,51 	 41,44 	0,7714	 34,335   	 31,967   
21/02/2005	 0,885   	 0,360   	 0,820   	 0,407   	 0,460   	 0,318   	 46,09 	 43,12 	0,7654	 35,277   	 33,004   
28/02/2005	 0,889   	 0,363   	 0,839   	 0,423   	 0,465   	 0,318   	 50,13 	 46,26 	0,7556	 37,878   	 34,954   
07/03/2005	 0,902   	 0,375   	 0,859   	 0,440   	 0,475   	 0,331   	 51,87 	 48,15 	0,7571	 39,271   	 36,454   
14/03/2005	 0,902   	 0,375   	 0,863   	 0,444   	 0,502   	 0,356   	 53,68 	 49,59 	0,748	 40,153   	 37,093   
21/03/2005	 0,903   	 0,376   	 0,864   	 0,445   	 0,515   	 0,367   	 55,79 	 51,76 	0,7591	 42,350   	 39,291   
04/04/2005	 0,915   	 0,386   	 0,874   	 0,453   	 0,538   	 0,378   	 55,92 	 52,93 	0,7783	 43,523   	 41,195   
11/04/2005	 0,923   	 0,393   	 0,878   	 0,456   	 0,533   	 0,381   	 51,21 	 49,14 	0,7709	 39,478   	 37,882   
18/04/2005	 0,933   	 0,402   	 0,886   	 0,464   	 0,549   	 0,387   	 48,58 	 46,52 	0,7682	 37,319   	 35,737   
25/04/2005	 0,943   	 0,410   	 0,886   	 0,464   	 0,538   	 0,378   	 53,10 	 50,17 	0,7692	 40,845   	 38,591   
02/05/2005	 0,943   	 0,410   	 0,880   	 0,459   	 0,524   	 0,366   	 50,89 	 47,79 	0,7773	 39,557   	 37,147   
09/05/2005	 0,935   	 0,403   	 0,870   	 0,450   	 0,487   	 0,335   	 49,71 	 47,82 	0,7772	 38,635   	 37,166   
16/05/2005	 0,929   	 0,398   	 0,859   	 0,441   	 0,510   	 0,355   	 46,42 	 45,47 	0,7914	 36,737   	 35,985   
23/05/2005	 0,930   	 0,399   	 0,859   	 0,441   	 0,506   	 0,351   	 47,28 	 45,50 	0,795	 37,588   	 36,173   
